cableTypeId,installMethodId,size_mm2,baseCCC_A,sourceTableRef,verified
sc_v75_cu,spaced_surface,1,16,AS3008 T4 col2,TRUE
sc_v75_cu,spaced_surface,1.5,21,AS3008 T4 col2,TRUE
sc_v75_cu,spaced_surface,2.5,30,AS3008 T4 col2,TRUE
sc_v75_cu,spaced_surface,4,40,AS3008 T4 col2,TRUE
sc_v75_cu,spaced_surface,6,51,AS3008 T4 col2,TRUE
sc_v75_cu,spaced_surface,10,69,AS3008 T4 col2,TRUE
sc_v75_cu,spaced_surface,16,92,AS3008 T4 col2,TRUE
sc_v75_cu,spaced_surface,25,124,AS3008 T4 col2,TRUE
sc_v75_cu,clipped_touching,1,13,AS3008 T4 col8,TRUE
sc_v75_cu,clipped_touching,1.5,16,AS3008 T4 col8,TRUE
sc_v75_cu,clipped_touching,2.5,23,AS3008 T4 col8,TRUE
sc_v75_cu,clipped_touching,4,31,AS3008 T4 col8,TRUE
sc_v75_cu,clipped_touching,6,40,AS3008 T4 col8,TRUE
sc_v75_cu,clipped_touching,10,54,AS3008 T4 col8,TRUE
sc_v75_cu,clipped_touching,16,72,AS3008 T4 col8,TRUE
sc_v75_cu,clipped_touching,25,97,AS3008 T4 col8,TRUE
tps_v90_2c,clipped_touching,1,14,AS3008 T10 col5,TRUE
tps_v90_2c,clipped_touching,1.5,18,AS3008 T10 col5,TRUE
tps_v90_2c,clipped_touching,2.5,26,AS3008 T10 col5,TRUE
tps_v90_2c,clipped_touching,4,34,AS3008 T10 col5,TRUE
tps_v90_2c,clipped_touching,6,44,AS3008 T10 col5,TRUE
tps_v90_2c,clipped_touching,10,60,AS3008 T10 col5,TRUE
tps_v90_2c,clipped_touching,16,80,AS3008 T10 col5,TRUE
tps_v90_2c,clipped_touching,25,107,AS3008 T10 col5,TRUE
tps_v90_2c,enclosed_conduit_air,1,13,AS3008 T10 col11,TRUE
tps_v90_2c,enclosed_conduit_air,1.5,16,AS3008 T10 col11,TRUE
tps_v90_2c,enclosed_conduit_air,2.5,23,AS3008 T10 col11,TRUE
tps_v90_2c,enclosed_conduit_air,4,30,AS3008 T10 col11,TRUE
tps_v90_2c,enclosed_conduit_air,6,39,AS3008 T10 col11,TRUE
tps_v90_2c,enclosed_conduit_air,10,52,AS3008 T10 col11,TRUE
tps_v90_2c,enclosed_conduit_air,16,68,AS3008 T10 col11,TRUE
tps_v90_2c,enclosed_conduit_air,25,90,AS3008 T10 col11,TRUE
sc_x90_cu,spaced_surface,1,19,AS3008 T8 col2,TRUE
sc_x90_cu,spaced_surface,1.5,25,AS3008 T8 col2,TRUE
sc_x90_cu,spaced_surface,2.5,35,AS3008 T8 col2,TRUE
sc_x90_cu,spaced_surface,4,46,AS3008 T8 col2,TRUE
sc_x90_cu,spaced_surface,6,59,AS3008 T8 col2,TRUE
sc_x90_cu,spaced_surface,10,81,AS3008 T8 col2,TRUE
sc_x90_cu,spaced_surface,16,108,AS3008 T8 col2,TRUE
sc_x90_cu,spaced_surface,25,146,AS3008 T8 col2,TRUE
sc_x90_cu,clipped_touching,1,16,AS3008 T8 col8,TRUE
sc_x90_cu,clipped_touching,1.5,20,AS3008 T8 col8,TRUE
sc_x90_cu,clipped_touching,2.5,28,AS3008 T8 col8,TRUE
sc_x90_cu,clipped_touching,4,37,AS3008 T8 col8,TRUE
sc_x90_cu,clipped_touching,6,47,AS3008 T8 col8,TRUE
sc_x90_cu,clipped_touching,10,65,AS3008 T8 col8,TRUE
sc_x90_cu,clipped_touching,16,86,AS3008 T8 col8,TRUE
sc_x90_cu,clipped_touching,25,117,AS3008 T8 col8,TRUE
ct_t10_confirm,im_confirm,1,14,AS3008 T10 col5,TRUE
ct_t10_confirm,im_confirm,1.5,18,AS3008 T10 col5,TRUE
ct_t10_confirm,im_confirm,2.5,26,AS3008 T10 col5,TRUE
ct_t10_confirm,im_confirm,4,34,AS3008 T10 col5,TRUE
ct_t10_confirm,im_confirm,6,44,AS3008 T10 col5,TRUE
ct_t10_confirm,im_confirm,10,60,AS3008 T10 col5,TRUE
ct_t10_confirm,im_confirm,16,80,AS3008 T10 col5,TRUE
ct_t10_confirm,im_confirm,25,107,AS3008 T10 col5,TRUE
ct_t11_confirm,im_confirm,1,17,AS3008 T11 col5,TRUE
ct_t11_confirm,im_confirm,1.5,22,AS3008 T11 col5,TRUE
ct_t11_confirm,im_confirm,2.5,31,AS3008 T11 col5,TRUE
ct_t11_confirm,im_confirm,4,42,AS3008 T11 col5,TRUE
ct_t11_confirm,im_confirm,6,53,AS3008 T11 col5,TRUE
ct_t11_confirm,im_confirm,10,73,AS3008 T11 col5,TRUE
ct_t11_confirm,im_confirm,16,97,AS3008 T11 col5,TRUE
ct_t11_confirm,im_confirm,25,131,AS3008 T11 col5,TRUE
